address,token_symbol,decimal
0x95F273a2e06f1Ec5144F0B1F73C2bc102B696385,SOCRATES,18
0xf66Cd2f8755a21d3c8683a10269F795c0532Dd58,CoreDAO,18
0x3D3D35bb9bEC23b06Ca00fe472b50E7A4c692C30,VIDYA,18
0xeCe8531550Fc599ccB2c7734494FBc358d0a9483,PP,18
0x6737fE98389Ffb356F64ebB726aA1a92390D94Fb,ZCC,18
0x1337DEF18C680aF1f9f45cBcab6309562975b1dD,arNXM,18
0x4118f3935231C517A71E154ab945249e5b9ed684,BPT,18
0x892A6f9dF0147e5f079b0993F486F9acA3c87881,xFUND,9
0x22b15c7Ee1186A7C7CFfB2D942e20Fc228F6E4Ed,SLP,18
0x8E0fE2947752BE0d5ACF73aaE77362Daf79cB379,NFTD,18
0xc3761EB917CD790B30dAD99f6Cc5b4Ff93C4F9eA,ERC20,18
0x18E5F92103d1B34623738Ee79214B1659f2eE109,wCELL,18
0xB01862D0830bCD7775a88625253d12d2c51A110a,aHIPPOv2,18
0x1c478637DEB86a26e14659211190104E70fc3091,PUB,18
0xd46df541148932690B81092f600f35208AFd4325,PRISM,18
0xB7D49e8C1400233238Db7C017621368801730279,FRENF,8
0x655AF27Fd486Ac6acb67CcF760E180421930276F,MDAO,18
0x6b576972de33BebDe3A703BfF52a091e79f8c87A,unUSDC,8
0x2823589Ae095D99bD64dEeA80B4690313e2fB519,WEENUS,18
0xed2e7DD338a76569123BcD5F677B872cD634409B,PiPi,18
0xb6d78683a4E54B91031ACB41510BD8E144FED025,CNFRG,18
0x9D21D469a03566CB69a0E4f057c7Aa8F48aE7C38,STONE,18
0xb75256012CbB2030aBfC8F55214569376Aa4d302,PAMBO,9
0x1d71bD9e4221AcbDC667Ff32FD388c2356142Aba,ZKG,18
0xE4CFE9eAa8Cdb0942A80B7bC68fD8Ab0F6D44903,XEND,18
0x66E564819340CC2F54aBcEb4e49941fa07E426b4,BRETT,9
0xE41724423566304437dC17dBB0DE27eA8ec44cf6,JACKPOT,18
0x71a4366E9b114F40b3e57906Ca542a222Dad3815,WOOF,18
0xC2a3a4FD22c9054615F45Ef5753eb0C5a9Ebe5e8,GOBBLE,18
0x1590ABe3612Be1CB3ab5B0f28874D521576e97Dc,PIXEL,18
0xDB6F6C8b940110617cf66E50c271E2278c8a32Df,SINU,18
0x275f5Ad03be0Fa221B4C6649B8AeE09a42D9412A,MONA,18
0x07eF9E82721AC16809D24DAfBE1792Ce01654DB4,BNANA,18
0x808632424440F6483D9BE7509812b53ED0F00344,MECHA,18
0x0d02755a5700414B26FF040e1dE35D337DF56218,BEND,18
0xfd004aE092b93Db2D4bFd6AC75DE390f3e01BFce,DIVIDEND_TRACKER,18
0x96ef7f9cF1B6eCC66E482A6598fc9F009E9277DA,Pomi,8
0x2C4e8f2D746113d0696cE89B35F0d8bF88E0AEcA,ST,18
0x37E8789bB9996CaC9156cD5F5Fd32599E6b91289,AID,18
0x0333bD026De5864F44D2A79Cb62A5C5D18E0246A,DH,18
0xD3D1615A2CdD71e209A3EFb6a91Fb9323bffd71D,AstroLion,9
0xE3B9CfB8EA8a4F1279fBC28D3E15B4d2d86f18A0,FOTTIE,9
0xd31c7daEA6aCee750F30Ac4aa21a6Bb5Db96F810,POE,9
0xf55BbE0255f7f4E70f63837Ff72A577fbDDbE924,crBOND,8
0xEc4325F0518584F0774b483c215F65474EAbD27F,oneBTC,18
0xf5AEd4F6a1Ad00f39Dd21febb6f400ea020030c2,HBOT,18
0xf951E335afb289353dc249e82926178EaC7DEd78,swETH,18
0x3b21418081528845a6DF4e970bD2185545b712ba,CHI,18
0x92fF563cE14fC62A5A87961CaBf1f98748fbBaEe,RAB,18
0x7e442206dA059905050bA02BE63CBB85c559EB04,FICO,18
0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,IXS,18
0xdaBd97a591a2eC9D5690b6d74d6DE47624aAB101,Ying-Yang (YING),18
0x6E605c269E0C92e70BEeB85486f1fC550f9380BD,CATT,18
0x351F73A79a33defbDd9A44F3d2eCa69AF6313c71,SSAI,18
0x37BAb2BEDE1C8941865C1Ad82234a05435C90627,v2ok,18
